CBSA_Name,metro_count,avg_access,avg_pop,avg_jobs,avg_LoWgWrks_byTr,avg_HiWgWrks_byTr,pct_LoWgWrks_byTr,pct_MeWgWrks_byTr
"Albany-Lebanon, OR",85,0.07894117647058824,0.06254626,0.12845598,1342.304347826087,408.4470588235294,0.11033243,0.09958972
"Albuquerque, NM",570,0.22929571932564233,0.19142365,0.36371914,17990.544987146528,14497.647368421052,0.2045938,0.19464228
"Allentown-Bethlehem-Easton, PA-NJ",578,0.1458687828132514,0.07603047,0.09201929,11476.360501567398,8406.480968858132,0.12760586,0.13912545
"Anderson, SC",125,0.008,,,,,,
"Ann Arbor, MI",251,0.2356972111553785,0.2677597,0.43061808,10468.963636363636,10441.569721115538,0.2897101,0.26754907
"Asheville, NC",290,0.0686896551724138,0.040226158,0.11713441,4592.375,687.3586206896551,0.1018423,0.09101893
"Astoria, OR",37,0.24189189189189186,,,,,,
"Atlanta-Sandy Springs-Marietta, GA",2588,0.03747427940017546,0.012204622,0.033738464,11897.005730659026,5717.178129829985,0.02458374,0.023240764
"Atlantic City-Hammonton, NJ",183,0.24382513661202185,,,,,,
"Austin-Round Rock-San Marcos, TX",967,0.07531404987542523,0.08687858,0.22074702,18863.135,11444.476732161324,0.11727669,0.11570334
"Bakersfield-Delano, CA",456,0.2193859649122807,0.08015394,0.112949565,10997.088607594937,6615.872807017544,0.15551941,0.16074868
"Baltimore-Towson, MD",1949,0.07708869113745945,0.081673115,0.10955746,33251.405495420484,32556.040020523345,0.12325333,0.14326492
"Barnstable Town, MA",192,0.039427083333333335,,,,,,
"Bend, OR",85,0.09011764705882352,0.017660603,0.042646594,862.7857142857143,133.41176470588235,0.051943753,0.050638955
"Birmingham-Hoover, AL",807,0.0453707520383157,0.010493851,0.053957913,1784.2307692307693,358.9876084262701,0.017161181,0.0159993
"Bishop, CA",16,0.1175,,,,,,
"Blacksburg-Christiansburg-Radford, VA",116,0.10086206896551723,0.0713654,0.09413618,2089.1,663.5086206896551,0.14271758,0.108259775
"Bloomington, IN",144,0.19527777777777777,0.24595001,0.39984235,6107.962962962963,2479.5138888888887,0.30468214,0.2501757
"Boston-Cambridge-Quincy, MA-NH",3418,0.04075773713562843,0.08450385,0.120166145,1498.0284715284715,1052.4625511995318,0.023882478,0.01777439
"Boulder, CO",200,0.31195,0.3199395,0.44371068,9403.636363636364,14496.9,0.30358794,0.29887334
"Bremerton-Silverdale, WA",164,0.1669429190110591,0.117764965,0.18622601,2983.6363636363635,1916.371951219512,0.13447072,0.1398114
"Bridgeport-Stamford-Norwalk, CT",646,0.045826102365179984,,,,,,
"Brigham City, UT",40,0.28725,,,,,,
"Brookings, OR",15,0.18133333333333332,,,,,,
"Buffalo-Niagara Falls, NY",955,0.19484014824802517,0.11985645,0.14776067,23837.313725490196,16921.013612565446,0.15771052,0.16255423
"Butte-Silver Bow, MT",37,0.3954054054054054,0.67046326,0.67174524,4040.53125,3224.972972972973,0.8048867,0.8117929
"Cape Coral-Fort Myers, FL",514,0.13665369649805448,0.053363934,0.1285343,4079.9024390243903,1866.739299610895,0.076801054,0.07734769
"Carson City, NV",43,0.1325581395348837,,,,,,
"Champaign-Urbana, IL",183,0.16540983606557377,0.37133974,0.5194019,10532.070707070707,6895.950819672131,0.42309365,0.40153888
"Charlottesville, VA",138,0.16978260869565218,0.1302446,0.22781643,4770.11320754717,2461.1521739130435,0.24363415,0.22373089
"Chicago-Joliet-Naperville, IL-IN-WI",6590,0.10060348102475945,0.045374002,0.06445481,47322.58446519524,62449.92306525038,0.049144927,0.056709632
"Cincinnati-Middletown, OH-KY-IN",1557,0.07422408667340087,0.048013277,0.08917307,15703.252186588921,8275.495183044315,0.06751822,0.06641411
"Cleveland-Elyria-Mentor, OH",1694,0.08640292595346143,0.07475238,0.10317575,23929.349705304518,16372.370720188903,0.102028035,0.10453788
"Colorado Springs, CO",380,0.08861505522141998,0.09101292,0.1705223,8237.812807881774,4366.215789473684,0.14283408,0.15108728
"Columbus, OH",1298,0.07964677041141552,0.064216286,0.10332595,17525.900849858357,11569.326656394453,0.090735376,0.09062621
"Coos Bay, OR",64,0.1990625,0.14115211,0.24603894,1404.423076923077,508.796875,0.21937254,0.21897261
"Corvallis, OR",61,0.1857377049180328,0.52881694,0.738979,5204.395348837209,4582.55737704918,0.56947094,0.5455257
"Cumberland, MD-WV",74,0.04689189189189189,0.010530739,0.011461689,666.75,76.17567567567568,0.060132574,0.060857963
"Dallas-Fort Worth-Arlington, TX",4132,0.052310342389672755,0.022811454,0.054683845,16547.46677471637,12411.166747337851,0.027827518,0.029477013
"Denver-Aurora-Broomfield, CO",1797,0.13802271705726357,0.10481289,0.16129225,24546.081444759206,34372.877573734004,0.09933945,0.10456313
"Detroit-Warren-Livonia, MI",3681,0.09965770171149144,0.016433993,0.019209303,32504.86291079812,7203.643031784841,0.07360153,0.07049152
"Dover, DE",72,0.15375,0.13389157,0.30257145,2869.206896551724,1303.0694444444443,0.17089802,0.16166611
"Duluth, MN-WI",281,0.15562277580071177,0.15950088,0.26737255,8294.389380530973,2975.106761565836,0.22346003,0.21678886
"Durham-Chapel Hill, NC",289,0.1593771626297578,0.07973991,0.14403123,6074.842465753424,4343.138408304499,0.12635389,0.11677317
"East Stroudsburg, PA",94,0.07255319148936169,,,,,,
"Eugene-Springfield, OR",258,0.24660739535721407,0.27785847,0.40470126,9246.573863636364,6771.674418604651,0.2539779,0.24572739
"Eureka-Arcata-Fortuna, CA",108,0.22611111111111112,0.21625236,0.36010268,3583.7611940298507,1859.1944444444443,0.24847543,0.2537885
"Fayetteville-Springdale-Rogers, AR-MO",279,0.04408602150537635,0.0055923196,0.0073911245,3410.0434782608695,239.1863799283154,0.08079714,0.054879043
"Fort Wayne, IN",323,0.1585139318885449,0.11421397,0.17513654,9349.59509202454,3712.938080495356,0.19092496,0.18825154
"Greeley, CO",175,0.005714285714285714,,,,,,
"Greenville-Mauldin-Easley, SC",385,0.004285714285714285,,,,,,
"Hartford-West Hartford-East Hartford, CT",883,0.0011325028312570782,,,,,,
"Honolulu, HI",591,0.23886632825719123,0.30005977,0.5164633,20805.93984962406,22984.15905245347,0.2358068,0.23625106
"Hood River, OR",19,0.10947368421052632,0.05396821,0.085079566,508.3333333333333,127.57894736842105,0.14412627,0.15475895
"Houston-Sugar Land-Baytown, TX",3036,0.06098113867897734,0.036649987,0.093842186,25312.70817704426,20246.540843214756,0.047882423,0.0490259
"Huntsville, AL",234,0.10085470085470086,0.034668375,0.069641076,3716.3690476190477,914.2435897435897,0.09457372,0.08322846
"Indianapolis-Carmel, IN",1069,0.07404389618456102,0.052642886,0.10152387,16381.819327731093,7316.429373246025,0.08516097,0.08760499
"Kansas City, MO-KS",1556,0.05621319069295302,0.03489356,0.06581574,13718.70340356564,5889.1060411311055,0.05973562,0.06290071
"Kennewick-Pasco-Richland, WA",186,0.02403225806451613,,,,,,
"Key West, FL",22,0.08227272727272728,,,,,,
"Kingsport-Bristol-Bristol, TN-VA",215,0.023488372093023256,,,,,,
"Klamath Falls, OR",67,0.16059701492537312,0.06667167,0.120286375,1315.875,315.3731343283582,0.20719178,0.20210277
"La Crosse, WI-MN",99,0.29414141414141415,0.29135537,0.48893496,6502.754098360656,3439.161616161616,0.35283527,0.3387642
"La Grande, OR",26,0.09846153846153846,,,,,,
"Lafayette, IN",132,0.1897727272727273,0.44391915,0.5922824,10550.013513513513,6857.280303030303,0.51300824,0.49248838
"Lakeland-Winter Haven, FL",331,0.10427046811665094,0.03376651,0.07689412,4462.833333333333,1149.643504531722,0.071284436,0.07266228
"Las Vegas-Paradise, NV",1294,0.13879574023226623,0.11377463,0.27071717,20085.1158221303,16562.123647604327,0.1187225,0.12627174
"Lawrence, KS",65,0.02569230769230769,,,,,,
"Lexington-Fayette, KY",334,0.11511976047904192,0.10872271,0.16527973,7639.622641509434,4363.125748502994,0.15855104,0.14456157
"Little Rock-North Little Rock-Conway, AR",472,0.08082090520744581,0.062459957,0.17708302,7198.657142857143,2662.8093220338983,0.09505687,0.088706695
"Los Angeles-Long Beach-Santa Ana, CA",8234,0.09138814327208582,0.04504342,0.056983437,64306.94720687538,61049.03449113432,0.048558798,0.05104173
"Louisville/Jefferson County, KY-IN",936,0.15486462116253857,0.089234106,0.1570624,16004.029527559054,9125.85576923077,0.11398151,0.105963506
